name,W,val_loss,f1_050,auc,fpr_050,fnr_050,f1_075,fpr_075,fnr_075,prec_075,rec_075,time
CNN lr=0.001,10,0.33198511600494385,0.918918918918919,0.9601866752494368,0.04184100418410042,0.08461538461538462,0.9262295081967213,0.0041841004184100415,0.13076923076923078,0.9912280701754386,0.8692307692307693,0.5036611557006836
CNN ch=64/128 fc=64 drop=0.3,10,0.3682497441768646,0.8642857142857143,0.960508529127776,0.12133891213389121,0.06923076923076923,0.9256198347107438,0.0,0.13846153846153847,1.0,0.8615384615384616,0.4959421157836914
CNN deep+res W=10,10,0.35531073808670044,0.8402777777777778,0.9515288059221113,0.15481171548117154,0.06923076923076923,0.9254901960784314,0.029288702928870293,0.09230769230769231,0.944,0.9076923076923077,0.6011033058166504
MLP GELU h=256,0,0.20293845236301422,0.9185185185185185,0.9804139635464937,0.0642570281124498,0.046153846153846156,0.9236641221374046,0.04417670682730924,0.06923076923076923,0.9166666666666666,0.9307692307692308,0.44295477867126465
CNN dilated W=15,15,0.3414299190044403,0.852112676056338,0.9458251150558843,0.14102564102564102,0.06923076923076923,0.921875,0.03418803418803419,0.09230769230769231,0.9365079365079365,0.9076923076923077,0.6086230278015137
CNN ch=64/128 fc=64 drop=0.1,10,0.2530633807182312,0.8981132075471698,0.9542645638879949,0.06694560669456066,0.08461538461538462,0.9212598425196851,0.029288702928870293,0.1,0.9435483870967742,0.9,0.5289554595947266
CNN dilated W=10,10,0.3041934072971344,0.8847583643122676,0.9573221757322176,0.08368200836820083,0.08461538461538462,0.9206349206349206,0.02510460251046025,0.1076923076923077,0.9508196721311475,0.8923076923076924,0.5965244770050049
CNN multikernel W=5,5,0.1287929266691208,0.8689655172413793,0.9708701134930644,0.13934426229508196,0.03076923076923077,0.9191176470588235,0.06967213114754098,0.038461538461538464,0.8802816901408451,0.9615384615384616,1.636754035949707
CNN baseline W=8,8,0.28626084327697754,0.90625,0.9605170762847112,0.04149377593360996,0.1076923076923077,0.9186991869918699,0.012448132780082987,0.13076923076923078,0.9741379310344828,0.8692307692307693,0.5104479789733887
MLP deep h=256,0,0.2274288386106491,0.9185185185185185,0.9896200185356812,0.0642570281124498,0.046153846153846156,0.9185185185185185,0.0642570281124498,0.046153846153846156,0.8857142857142857,0.9538461538461539,0.5434150695800781
CNN multikernel W=15,15,0.2947051227092743,0.8929889298892989,0.9495069033530572,0.08547008547008547,0.06923076923076923,0.9169960474308301,0.029914529914529916,0.1076923076923077,0.943089430894309,0.8923076923076924,0.7338922023773193
CNN deep+res W=15,15,0.34584924578666687,0.8093645484949833,0.9542077580539121,0.20512820512820512,0.06923076923076923,0.9166666666666666,0.05555555555555555,0.06923076923076923,0.9029850746268657,0.9307692307692308,0.6007750034332275
Transformer W=15,15,0.24604809284210205,0.9097744360902256,0.9502301117685733,0.0641025641025641,0.06923076923076923,0.9140625,0.038461538461538464,0.1,0.9285714285714286,0.9,1.173572301864624
LSTM+CNN W=5,5,0.3193383812904358,0.9042145593869731,0.9540353089533418,0.05327868852459016,0.09230769230769231,0.9128630705394191,0.004098360655737705,0.15384615384615385,0.990990990990991,0.8461538461538461,0.6315526962280273
CNN multikernel W=8,8,0.26091718673706055,0.8705035971223022,0.9632301308649857,0.11203319502074689,0.06923076923076923,0.9125475285171103,0.05394190871369295,0.07692307692307693,0.9022556390977443,0.9230769230769231,0.9214694499969482
CNN maxpool W=8,8,0.36166325211524963,0.8654545454545455,0.9563676986913502,0.1078838174273859,0.08461538461538462,0.9098039215686274,0.03734439834024896,0.1076923076923077,0.928,0.8923076923076924,0.504375696182251
