step_idx	elapsed_s	status	reverse_active	path_reverse_active	stuck_detection_armed	planner_rebuilt	replan_attempted	raw_path_points	follow_path_points	active_path_points	raw_rover_x	raw_rover_y	raw_rover_z	raw_heading_deg	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	raw_pose_delta	pose_delta_cm	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	distance_traveled_delta	moved_since_anchor_cm	stationary_elapsed_s	goal_x_cm	goal_y_cm	goal_dist_cm	target_x_cm	target_y_cm	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	waypoint_idx	waypoint_distance_cm	waypoint_distance_avg_cm	path_heading_error_deg	throttle_cmd	steering_cmd	new_lidar_obstacles	stuck_obstacles_added	obstacle_total
24	6.548	Running	0	0	1	0	0	0	649	640	-5669.800	-10074.700	1440.300	182.500	-280.029	1720.020	29.999	-92.500	0.000	0.000	18.000	1.000	0.900	0	1.100	0.000	0.000	0.000	-4270.020	-2259.961	5635.625	-633.583	1376.476	103	103	96	96	58	492.973	466.067	-46.087	18.000	-1.000	0	0	0
25	6.816	Running	0	0	1	0	0	0	649	640	-5669.800	-10074.700	1440.300	182.500	-280.029	1720.020	29.999	-92.500	0.000	0.000	18.000	1.000	0.900	0	1.100	0.000	0.000	0.000	-4270.020	-2259.961	5635.625	-633.583	1376.476	103	103	96	96	58	492.973	467.102	-46.087	18.000	-1.000	0	0	0
26	7.108	Running	0	0	1	0	0	0	649	638	-5669.900	-10074.900	1440.300	183.900	-289.990	1700.000	29.999	-93.900	0.224	22.361	18.000	1.000	1.100	0	1.200	0.100	22.361	0.000	-4270.020	-2259.961	5614.439	-643.544	1366.515	103	103	96	96	57	486.017	467.802	-48.739	18.000	-1.000	0	0	0
27	7.369	Running	0	0	1	0	0	0	649	638	-5669.900	-10074.900	1440.300	183.900	-289.990	1700.000	29.999	-93.900	0.000	0.000	18.000	1.000	1.100	0	1.200	0.000	0.000	0.000	-4270.020	-2259.961	5614.439	-643.544	1366.515	103	103	96	96	57	486.017	468.453	-48.739	18.000	-1.000	0	0	0
28	7.635	Running	0	0	1	0	0	0	649	638	-5669.900	-10074.900	1440.300	183.900	-289.990	1700.000	29.999	-93.900	0.000	0.000	18.000	1.000	1.100	0	1.200	0.000	0.000	0.000	-4270.020	-2259.961	5614.439	-643.544	1366.515	103	103	96	96	57	486.017	469.058	-48.739	18.000	-1.000	0	0	0
29	7.902	Running	0	0	1	0	0	0	649	637	-5669.900	-10075.000	1440.300	185.400	-289.990	1690.039	29.999	-95.400	0.100	9.961	18.000	1.000	1.300	0	1.300	0.100	9.961	0.000	-4270.020	-2259.961	5607.418	-643.544	1366.515	103	103	96	96	56	479.237	469.398	-51.733	18.000	-1.000	0	0	0
30	8.169	Running	0	0	1	0	0	0	649	637	-5669.900	-10075.000	1440.300	185.400	-289.990	1690.039	29.999	-95.400	0.000	0.000	18.000	1.000	1.300	0	1.300	0.000	0.000	0.000	-4270.020	-2259.961	5607.418	-643.544	1366.515	103	103	96	96	56	479.237	469.715	-51.733	18.000	-1.000	0	0	0
31	8.441	Running	0	0	1	0	0	0	649	637	-5669.900	-10075.000	1440.300	185.400	-289.990	1690.039	29.999	-95.400	0.000	0.000	18.000	1.000	1.300	0	1.300	0.000	0.000	0.000	-4270.020	-2259.961	5607.418	-643.544	1366.515	103	103	96	96	56	479.237	470.013	-51.733	18.000	-1.000	0	0	0
32	8.702	Running	0	0	1	0	0	0	649	635	-5670.000	-10075.101	1440.300	187.300	-300.000	1679.980	29.999	-97.300	0.142	14.191	18.000	1.000	1.500	0	1.400	0.100	14.191	0.000	-4270.020	-2259.961	5593.227	-653.553	1356.505	103	102	96	96	56	479.204	470.291	-49.857	18.000	-1.000	0	0	0
33	8.960	Running	0	0	1	0	0	0	649	635	-5670.000	-10075.101	1440.300	187.300	-300.000	1679.980	29.999	-97.300	0.000	0.000	18.000	1.000	1.500	0	1.400	0.000	0.000	0.000	-4270.020	-2259.961	5593.227	-653.553	1356.505	103	102	96	96	56	479.204	470.553	-49.857	18.000	-1.000	0	0	0
