snapshot_idx	step_idx	elapsed_s	label	point_idx	x_cm	y_cm
0	-1	0.000	initial_follow_path	224	-1039.990	-170.020
0	-1	0.000	initial_follow_path	225	-1046.240	-176.270
0	-1	0.000	initial_follow_path	226	-1052.490	-182.520
0	-1	0.000	initial_follow_path	227	-1058.740	-188.770
0	-1	0.000	initial_follow_path	228	-1064.990	-195.020
0	-1	0.000	initial_follow_path	229	-1071.240	-201.270
0	-1	0.000	initial_follow_path	230	-1077.490	-207.520
0	-1	0.000	initial_follow_path	231	-1083.740	-213.770
0	-1	0.000	initial_follow_path	232	-1089.990	-220.020
0	-1	0.000	initial_follow_path	233	-1096.240	-226.270
0	-1	0.000	initial_follow_path	234	-1102.490	-232.520
0	-1	0.000	initial_follow_path	235	-1108.740	-238.770
0	-1	0.000	initial_follow_path	236	-1114.990	-245.020
0	-1	0.000	initial_follow_path	237	-1121.240	-251.270
0	-1	0.000	initial_follow_path	238	-1127.490	-257.520
0	-1	0.000	initial_follow_path	239	-1133.740	-263.770
0	-1	0.000	initial_follow_path	240	-1139.990	-270.020
0	-1	0.000	initial_follow_path	241	-1146.240	-276.270
0	-1	0.000	initial_follow_path	242	-1152.490	-282.520
0	-1	0.000	initial_follow_path	243	-1158.740	-288.770
0	-1	0.000	initial_follow_path	244	-1164.990	-295.020
0	-1	0.000	initial_follow_path	245	-1171.240	-301.270
0	-1	0.000	initial_follow_path	246	-1177.490	-307.520
0	-1	0.000	initial_follow_path	247	-1183.740	-313.770
0	-1	0.000	initial_follow_path	248	-1189.990	-320.020
0	-1	0.000	initial_follow_path	249	-1196.240	-326.270
0	-1	0.000	initial_follow_path	250	-1202.490	-332.520
0	-1	0.000	initial_follow_path	251	-1208.740	-338.770
0	-1	0.000	initial_follow_path	252	-1214.990	-345.020
0	-1	0.000	initial_follow_path	253	-1221.240	-351.270
0	-1	0.000	initial_follow_path	254	-1227.490	-357.520
0	-1	0.000	initial_follow_path	255	-1233.740	-363.770
0	-1	0.000	initial_follow_path	256	-1239.990	-370.020
0	-1	0.000	initial_follow_path	257	-1246.240	-376.270
0	-1	0.000	initial_follow_path	258	-1252.490	-382.520
0	-1	0.000	initial_follow_path	259	-1258.740	-388.770
0	-1	0.000	initial_follow_path	260	-1264.990	-395.020
0	-1	0.000	initial_follow_path	261	-1271.240	-401.270
0	-1	0.000	initial_follow_path	262	-1277.490	-407.520
0	-1	0.000	initial_follow_path	263	-1283.740	-413.770
0	-1	0.000	initial_follow_path	264	-1289.990	-420.020
0	-1	0.000	initial_follow_path	265	-1296.240	-426.270
0	-1	0.000	initial_follow_path	266	-1302.490	-432.520
0	-1	0.000	initial_follow_path	267	-1308.740	-438.770
0	-1	0.000	initial_follow_path	268	-1314.990	-445.020
0	-1	0.000	initial_follow_path	269	-1321.240	-451.270
0	-1	0.000	initial_follow_path	270	-1327.490	-457.520
0	-1	0.000	initial_follow_path	271	-1333.740	-463.770
0	-1	0.000	initial_follow_path	272	-1339.990	-470.020
0	-1	0.000	initial_follow_path	273	-1346.240	-476.270
0	-1	0.000	initial_follow_path	274	-1352.490	-482.520
0	-1	0.000	initial_follow_path	275	-1358.740	-488.770
0	-1	0.000	initial_follow_path	276	-1364.990	-495.020
0	-1	0.000	initial_follow_path	277	-1371.240	-501.270
0	-1	0.000	initial_follow_path	278	-1377.490	-507.520
0	-1	0.000	initial_follow_path	279	-1383.740	-513.770
0	-1	0.000	initial_follow_path	280	-1389.990	-520.020
0	-1	0.000	initial_follow_path	281	-1396.240	-526.270
0	-1	0.000	initial_follow_path	282	-1402.490	-532.520
0	-1	0.000	initial_follow_path	283	-1408.740	-538.770
0	-1	0.000	initial_follow_path	284	-1414.990	-545.020
0	-1	0.000	initial_follow_path	285	-1421.240	-551.270
0	-1	0.000	initial_follow_path	286	-1427.490	-557.520
0	-1	0.000	initial_follow_path	287	-1433.740	-563.770
0	-1	0.000	initial_follow_path	288	-1439.990	-570.020
0	-1	0.000	initial_follow_path	289	-1446.240	-576.270
0	-1	0.000	initial_follow_path	290	-1452.490	-582.520
0	-1	0.000	initial_follow_path	291	-1458.740	-588.770
0	-1	0.000	initial_follow_path	292	-1464.990	-595.020
0	-1	0.000	initial_follow_path	293	-1471.240	-601.270
0	-1	0.000	initial_follow_path	294	-1477.490	-607.520
0	-1	0.000	initial_follow_path	295	-1483.740	-613.770
0	-1	0.000	initial_follow_path	296	-1489.990	-620.020
0	-1	0.000	initial_follow_path	297	-1496.240	-626.270
0	-1	0.000	initial_follow_path	298	-1502.490	-632.520
0	-1	0.000	initial_follow_path	299	-1508.740	-638.770
0	-1	0.000	initial_follow_path	300	-1514.990	-645.020
0	-1	0.000	initial_follow_path	301	-1521.240	-651.270
0	-1	0.000	initial_follow_path	302	-1527.490	-657.520
0	-1	0.000	initial_follow_path	303	-1533.740	-663.770
0	-1	0.000	initial_follow_path	304	-1539.990	-670.020
